Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Delaware,Manufacturing,2021,456739,9845758,8681643,859786,1729978,561507,696407,472063,2172891,865358,763534,543998,530964,106777,424187,8196,10025,405965
District of Columbia,Manufacturing,2018,11742,119399,114213,795,11917,3105,4645,4167,11603,3046,3889,4668,3269,NA,NA,NA,92,1759
District of Columbia,Manufacturing,2019,17168,192745,185268,915,12091,NA,NA,4354,15380,NA,NA,NA,5970,830,5140,1830,137,3173
District of Columbia,Manufacturing,2020,15850,174495,168142,672,8571,3813,813,3945,10885,4540,1741,4604,2678,NA,NA,NA,NA,NA
District of Columbia,Manufacturing,2021,14430,156325,150198,555,11178,NA,NA,3860,14946,NA,NA,5145,3633,1247,2386,415,85,1886
Florida,Manufacturing,2018,4972337,54579452,49211395,2509464,15395650,7331014,3058009,5006627,15178121,6628377,3243113,5306631,3581060,620865,2960194,205004,157722,2597469
Florida,Manufacturing,2019,5021638,54564848,49481680,2231632,15031727,6486003,3173524,5372200,15845256,7170091,3276711,5398454,3612642,723911,2888731,179544,109004,2600183
Florida,Manufacturing,2020,4965098,53388406,48268750,2360001,15745978,7154713,3197509,5393756,15988540,7076629,3335631,5576279,3513525,620835,2892690,164019,108413,2620259
Florida,Manufacturing,2021,5349693,60204275,54412953,2651220,16168505,7131831,3349567,5687107,18697268,7889116,3875943,6932209,3633848,815006,2818842,181132,108593,2529118
Georgia,Manufacturing,2018,5735847,98904112,91192985,3928439,19274657,6711797,4449860,8113000,19920801,6853128,4664191,8403483,5091932,951377,4140554,191428,175688,3773438
Georgia,Manufacturing,2019,5861679,100534959,92318820,4148682,19948391,6869460,4751624,8327307,21656486,7150950,5452808,9052728,5346755,855132,4491623,147824,137869,4205930
Georgia,Manufacturing,2020,5670222,93650901,86376739,3654240,21070122,6554252,5595973,8919897,21945197,6141464,6972730,8831003,5897902,1115724,4782178,147635,174714,4459829
Georgia,Manufacturing,2021,6014081,105115796,96804176,4265058,21900507,6134971,6941068,8824469,24528366,7270597,6842536,10415232,5233277,977555,4255722,160875,127736,3967111
Hawaii,Manufacturing,2018,173619,4696184,4054714,469872,626962,328246,148937,149779,881059,414944,152665,313450,201819,NA,NA,NA,NA,36398
Hawaii,Manufacturing,2019,174428,4429849,3785233,464615,864073,NA,NA,295229,1012472,580424,60775,371273,331354,245543,85811,18362,4097,63351
Hawaii,Manufacturing,2020,152520,3070816,2685852,250744,998106,573036,57684,367386,718356,403417,58364,256575,90860,NA,NA,NA,NA,NA
Hawaii,Manufacturing,2021,151457,3680176,3304276,258314,567753,NA,NA,171798,864046,NA,NA,235759,71434,18025,53409,5510,3286,44613
Idaho,Manufacturing,2018,1007803,12082715,11235287,248876,3108710,1148710,701683,1258317,3362494,1273355,688806,1400332,1333520,436489,897032,27292,12092,857648
Idaho,Manufacturing,2019,1040164,13540115,12602255,276485,3368929,1266449,704269,1398211,3031117,1127066,536478,1367573,1367185,266267,1100918,21610,38343,1040964
